行业,代码,名称,市值(亿),PE,PB,涨跌幅,换手率,行业排名
AI/计算机,603019,中科曙光,1263.0,57.0,5.7,0.35,3.06,1.0
AI/计算机,688111,金山办公,1161.0,32.0,7.7,-4.46,2.55,2.0
CXO,603259,药明康德,2445.0,14.7,3.7,-0.9,1.38,1.0
中药,600085,同仁堂,346.0,32.1,2.5,-1.68,0.61,1.0
中药,600332,白云山,303.0,11.9,0.9,-1.01,0.51,2.0
交通运输,601816,京沪高铁,2476.0,18.5,1.2,-0.78,0.36,1.0
交通运输,601919,中远海控,1838.0,8.9,0.9,-1.81,0.69,2.0
传媒/游戏,600637,东方明珠,313.0,56.1,1.1,-1.27,1.26,1.0
传媒/游戏,603444,吉比特,241.0,11.9,4.4,-0.64,1.7,2.0
保险,601628,中国人寿,6847.0,6.4,1.6,-1.08,0.11,1.0
保险,601318,中国平安,5724.0,7.3,0.9,-0.7,0.59,2.0
储能/电力设备,600406,国电南瑞,1942.0,23.4,3.6,-1.58,1.05,1.0
储能/电力设备,600875,东方电气,756.0,27.1,2.5,1.03,2.84,2.0
光伏,688390,固德威,334.0,126.4,11.8,-1.66,3.52,1.0
军工,600150,中国船舶,2734.0,24.2,1.8,-0.33,0.82,1.0
军工,600760,中航沈飞,1200.0,37.0,5.2,-1.99,0.51,2.0
农林牧渔,600737,中粮糖业,310.0,31.3,2.7,2.33,2.17,1.0
化工,600309,万华化学,2322.0,17.6,2.2,-1.32,1.19,1.0
化工,600176,中国巨石,1518.0,39.7,4.8,-2.54,4.64,2.0
医疗器械,688271,联影医疗,942.0,49.6,4.3,-3.3,1.11,1.0
医疗器械,688029,南微医学,143.0,25.6,3.4,-4.92,1.3,2.0
医药,600276,恒瑞医药,3011.0,38.6,5.0,-2.48,1.28,1.0
医药,603259,药明康德,2445.0,14.7,3.7,-0.9,1.38,2.0
半导体,688256,寒武纪,8659.0,318.7,70.8,6.01,2.64,1.0
半导体,688041,海光信息,6646.0,243.8,28.3,0.86,1.61,2.0
地产,600663,陆家嘴,226.0,45.5,1.4,-1.38,0.29,1.0
家电,600690,海尔智家,1294.0,10.4,1.6,-2.04,0.91,1.0
建材,600585,海螺水泥,784.0,13.4,0.5,-2.63,0.76,1.0
建材,603737,三棵树,263.0,33.9,8.9,-2.91,0.78,2.0
建筑/基建,601668,中国建筑,1971.0,5.2,0.4,-1.85,0.63,1.0
建筑/基建,601390,中国中铁,969.0,5.5,0.4,-1.25,0.48,2.0
快递/物流,600233,圆通速递,599.0,12.4,1.7,-1.9,1.19,1.0
新能源车产业链,603799,华友钴业,1005.0,13.7,2.0,-0.67,2.35,1.0
新能源车产业链,600516,方大炭素,221.0,232.3,1.4,10.04,4.35,2.0
有色/稀土,603993,洛阳钼业,3473.0,17.6,5.1,0.76,1.67,1.0
有色/稀土,600111,北方稀土,1801.0,65.8,7.0,2.57,3.37,2.0
机械/自动化,600031,三一重工,1522.0,19.6,1.8,-0.99,0.92,1.0
机械/自动化,601100,恒立液压,1510.0,54.5,8.4,1.15,0.78,2.0
检测/仪器,688012,中微公司,2679.0,98.2,11.0,1.1,3.55,1.0
汽车,600104,上汽集团,1389.0,13.7,0.5,-1.63,0.31,1.0
汽车,601689,拓普集团,1088.0,39.4,4.6,-0.52,2.31,2.0
消费电子,601138,工业富联,16084.0,39.6,9.1,1.3,1.95,1.0
消费电子,603160,汇顶科技,261.0,34.4,2.8,0.65,1.74,2.0
煤炭,601088,中国神华,8056.0,20.6,2.1,1.26,0.25,1.0
煤炭,601225,陕西煤业,2629.0,16.3,2.6,2.84,0.7,2.0
电信/运营商,601728,中国电信,4751.0,17.7,1.2,-0.65,0.17,1.0
电信/运营商,600050,中国联通,1354.0,15.8,0.8,-1.13,0.49,2.0
电力/公用事业,600900,长江电力,6824.0,18.9,3.0,-0.25,0.47,1.0
电力/公用事业,600025,华能水电,1887.0,22.1,2.7,-0.49,0.25,2.0
白酒,600519,贵州茅台,16025.0,19.4,6.0,-1.94,0.42,1.0
白酒,000858,五 粮 液,3196.0,25.4,2.5,-0.44,0.55,2.0
石油,601857,中国石油,17569.0,12.6,1.2,1.78,0.14,1.0
石油,600028,中国石化,4605.0,16.5,0.7,0.83,0.37,2.0
证券,600030,中信证券,3117.0,11.3,1.3,0.08,1.5,1.0
证券,601211,国泰海通,2203.0,13.1,0.9,0.62,1.15,2.0
软件,688111,金山办公,1161.0,32.0,7.7,-4.46,2.55,1.0
软件,600570,恒生电子,460.0,34.4,4.6,-0.37,1.49,2.0
通信设备/光模块,000063,中兴通讯,1468.0,39.0,2.3,0.39,6.04,1.0
通信设备/光模块,688313,仕佳光子,763.0,193.1,46.0,9.29,10.26,2.0
钢铁,600019,宝钢股份,1270.0,12.5,0.6,-1.85,0.63,1.0
钢铁,600282,南钢股份,313.0,10.8,1.1,-1.74,0.54,2.0
银行,601288,农业银行,20304.0,7.6,0.8,-1.4,0.09,1.0
银行,601398,工商银行,19628.0,7.0,0.7,-0.82,0.09,2.0
风电,601615,明阳智能,337.0,88.0,1.3,-1.72,3.7,1.0
风电,688349,三一重能,230.0,21.9,1.6,-0.82,0.57,2.0
食品饮料,603288,海天味业,1913.0,27.6,4.8,-0.81,0.44,1.0
食品饮料,600887,伊利股份,1682.0,14.0,2.8,-0.52,1.01,2.0
